,b_title,year,url,author
99,Ultrafast Spectroscopy of Hydroxy‐Substituted Azobenzenes in Water,2015,https://onlinelibrary.wiley.com/doi/abs/10.1002/chem.201501863,"['S Steinwand', ' T Halbritter', ' D Rastädter', '\xa0', ' ', '\xa0A European Journal', ' 2015 ', ' Wiley Online Library']"
84,Ultrafast 2D IR spectroscopy of the excess proton in liquid water,2015,http://science.sciencemag.org/content/350/6256/78.short,"['M Thämer', ' L De Marco', ' K Ramasesha', ' A Mandal', '\xa0', ' ', '', ' 2015 ', ' science.sciencemag.org']"
88,Quantifying bulk and surface recombination processes in nanostructured water splitting photocatalysts via in situ ultrafast spectroscopy,2015,https://pubs.acs.org/doi/abs/10.1021/nl504035j,"['K Appavoo', ' M Liu', ' CT Black', ' MY Sfeir\xa0', ' Nano letters', ' 2015 ', ' ACS Publications']"
70,… Characterization of a Chromophore/Water Oxidation Catalyst Containing a Layer-by-Layer Assembly on Nanocrystalline TiO2 Using Ultrafast Spectroscopy,2014,https://pubs.acs.org/doi/abs/10.1021/jp411139j,"['SE Bettis', ' K Hanson', ' L Wang', ' MK Gish', '\xa0', ' The Journal of\xa0', '', ' 2014 ', ' ACS Publications']"
96,"A two-step ICT process for solvatochromic betaine pyridinium revealed by ultrafast spectroscopy, multivariate curve resolution, and TDDFT calculations",2012,https://pubs.rsc.org/en/content/articlehtml/2012/cp/c2cp22254j,"['S Aloïse', ' Z Pawlowska', ' C Ruckebusch', '\xa0', ' Physical Chemistry\xa0', '', ' 2012 ', ' pubs.rsc.org']"
18,All-optical ultrafast spectroscopy of a single nanoparticle-substrate contact,2012,https://journals.aps.org/prb/abstract/10.1103/PhysRevB.86.035456,"['Y Guillet', ' B Audoin', ' M Ferrié', ' S Ravaine\xa0', ' Physical Review B', ' 2012 ', ' APS']"
79,Ultrafast spectroscopy with a scanning tunneling microscope,2011,https://aip.scitation.org/doi/abs/10.1063/1.3597351,"['I Moult', ' M Herve', ' Y Pennec\xa0', ' Applied Physics Letters', ' 2011 ', ' aip.scitation.org']"
32,Electronic ground state conformers of β-carotene and their role in ultrafast spectroscopy,2011,https://www.sciencedirect.com/science/article/pii/S0009261411002363,"['V Lukeš', ' N Christensson', ' F Milota', ' HF Kauffmann', '\xa0', ' Chemical Physics\xa0', '', ' 2011 ', ' Elsevier']"
83,Ultrafast vibrational energy transfer at the water/air interface revealed by two-dimensional surface vibrational spectroscopy,2011,https://www.nature.com/nchem/journal/v3/n11/abs/nchem.1158.html,"['Z Zhang', ' L Piatkowski', ' HJ Bakker', ' M Bonn\xa0', ' Nature chemistry', ' 2011 ', ' nature.com']"
4,Effect of annealing on P3HT: PCBM charge transfer and nanoscale morphology probed by ultrafast spectroscopy,2010,https://pubs.acs.org/doi/abs/10.1021/nl9038289,"['RA Marsh', ' JM Hodgkiss', ' S Albert', 'Seifried', '\xa0', ' Nano\xa0', '', ' 2010 ', ' ACS Publications']"
